BALANCE_FREQUENCY,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,CASH_ADVANCE_FREQUENCY,PRC_FULL_PAYMENT,TENURE,PAYMENT_RATIO,ONEOFF_PURCHASE_RATIO,INSTALLMENT_PURCHASE_RATIO,CASH_ADVANCE_RATIO,UTILIZATION_RATIO,AVG_PURCHASE_TRX,AVG_CASHADVANCE_TRX,Cluster
0.818182,0.166667,0.0,0.0,0.0,12,0.8946618381373398,0.0,0.693147128149048,0.0,0.04008644271569388,3.8856741327704434,0.0,1
0.909091,0.0,0.0,0.25,0.222222,12,1.574067991613106,0.0,0.0,1.1025608728119982,0.37671944506196636,0.0,7.385064869528054,0
1.0,1.0,1.0,0.0,0.0,12,0.6889792676931916,0.6931471740930624,0.0,0.0,0.28719684061316486,4.180992784461229,0.0,3
0.636364,0.083333,0.083333,0.083333,0.0,12,0.0,0.6931471772243882,0.0,0.11642435516646678,0.20067111798327347,7.313210393806968,5.33168424448983,3
1.0,0.083333,0.083333,0.0,0.0,12,1.3273599531147617,0.6931468680600917,0.0,0.0,0.5196437932661495,2.8332039323413367,0.0,3
1.0,0.666667,0.0,0.0,0.0,12,0.458437904340691,0.0,0.6931471768097953,0.0,0.6958736661360188,5.121936876666058,0.0,3
1.0,1.0,1.0,0.0,1.0,12,3.4989838330184755,0.6433906780972252,0.09265014426272598,0.0,0.04541663580941343,4.716684851401576,0.0,2
1.0,1.0,0.0,0.0,0.0,12,0.8225761614641742,0.0,0.6931471690973138,0.0,0.5838302338232431,3.620332100557308,0.0,2
1.0,0.333333,0.083333,0.0,0.0,12,1.1651113025673376,0.5697607675512942,0.20876541004111965,0.0,0.13539546310886463,5.15501066751688,0.0,3
0.545455,0.166667,0.166667,0.0,0.0,12,2.5346966519571312,0.6931471766585721,0.0,0.0,0.013743844183585211,6.059587050612329,0.0,1
1.0,1.0,0.0,0.0,0.0,12,0.4045294643744976,0.0,0.6931471751258715,0.0,0.7312153580939912,4.3525540893693835,0.0,3
